Key,Value
NUM_things,95
pepper_fries,95
pan_con,95
fixe_menu,95
chutney_sauce,95
list,95
regular_fries,95
red_onion,95
great_people,95
ribs,95
reading,95
head_cheese,95
millenium_park,95
another_friend,95
many_choices,94
gage_burger,94
sweet_sauce,94
ordered_drinks,94
completely_different,94
very_strong,94
tiny_bit,94
nt_necessarily,94
always_make,94
slightly_sweet,94
wild_mushroom,94
mind_waiting,94
many_dishes,94
holy_crap,94
good_prices,94
great_burgers,94
huge_portion,94
brioche_french,94
street,94
mostly_because,94
east_coast,94
smoked_beef,94
cheese_grits,94
very_big,94
extremely_loud,94
weekend_night,94
world,93
minutes,93
cocktail_list,93
great_dinner,93
chocolate_beignets,93
nt_hurt,93
quality_fish,93
con_tomate,93
different_items,93
free_refills,93
mixed_drinks,93
NUM_items,93
gets_busy,92
seemed_very,92
many_reviews,92
menu_options,92
nt_speak,92
good_drinks,92
little_spicy,92
gulf_fish,92
many_restaurants,92
lunch_rush,92
nt_sit,92
tasted_pretty,92
nt_resist,92
makes,92
weekend_brunch,92
anyone_looking,92
great_breakfast,92
fried_mushrooms,92
great_idea,92
long_day,92
single_time,92
bit_high,92
breakfast_items,92
eat_anything,92
free_samples,92
NUM_courses,92
felt_bad,92
mushroom_salad,92
actually_quite,91
recommendation,91
great_texture,91
music_playing,91
seriously,91
kind,91
since_NUM,91
opened,91
table_ordered,91
love_coming,91
cheddar_fries,91
molten_chocolate,91
chef,91
croque_madame,91
yummy_food,90
fried_steak,90
spicy_kick,90
pretty_full,90
delicious_meal,90
enjoy,90
good_variety,90
very_simple,90
mint_julep,90
breakfast_quesadilla,90
authentic,90
tortilla_espanola,90
hotel,90
pretty_nice,90
bean_burger,90
people_love,90
small_size,89
time_eating,89
sushi_joint,89
takes_NUM,89
only_eat,89
bay_area,89
super_crowded,89
regular_basis,89
beef_meatballs,89
sea_bass,89
pizza_joints,89
fantastic_food,89
bucatini_pomodoro,89
crowded,89
lamb_chops,89
everyone_says,89
every_bit,89
mozzarella_sticks,89
very_nicely,89
really_yummy,89
nt_skimp,89
NUM_dozen,89
prime_beef,89
blueberry_bbq,89
spanish_mackerel,89
order_food,89
crab_bisque,89
nt_blow,88
left_feeling,88
baby_octopus,88
fig_salad,88
really_disappointed,88
fish_tostadas,88
crispy_crust,88
dishes,88
really_makes,88
absolutely_fantastic,88
little_salty,88
yelp_review,88
overall_great,88
love_tapas,88
chocolate_croquettes,88
because_everyone,88
actually_very,88
good_company,88
overly_sweet,88
nt_eaten,88
pepperoni_pizza,88
NUM_course,88
personal_preference,88
full_menu,88
really_worth,88
bit_salty,88
french_restaurant,87
mardi_gras,87
NUM_price,87
waited,87
nothing_short,87
overall,87
NUM_inches,87
NUM_types,87
belgian,87
day_before,87
door,87
comes,87
smokey_flavor,87
called_ahead,87
great_tasting,87
half_slab,87
empty_tables,87
word,87
nt_call,86
selection,86
great_because,86
bit_disappointing,86
extremely_fresh,86
only_bad,86
nice_restaurant,86
carne_tacos,86
menu_item,86
eat_breakfast,86
anyone_else,86
only_issue,86
being_very,86
jam_packed,86
nt_hold,86
seed_bun,86
mayo_based,86
people_sitting,86
fair_share,86
only_ordered,86
big_groups,86
maybe,86
NUM_girls,86
feel_rushed,86
always_seems,86
walking,86
pizzeria_uno,85
side_order,85
larger_group,85
dining_experiences,85
man,85
something_special,85
jazz_brunch,85
roasted_bone,85
NUM_hrs,85
girlfriend,85
crispy_skin,85
slow_service,85
any_case,85
honda_plaza,85
special_occasions,85
kansas_city,85
vegetarian_restaurant,85
blue_crab,85
crazy_busy,85
read,85
NUM_feet,85
large_parties,85
